csv_row,excel_name,notion_name,institution_code,action,coded_page_name,coded_old_address,csv_updated_address,target_city,target_district,duplicate_name,duplicate_address,duplicate_name_score,duplicate_address_score,page_id,duplicate_page_id
47,尚好技工所-歇業,上好牙體技術所,2Y31010376,matched_page_already_current,上好牙體技術所,新北市板橋區文聖街76號3樓,新北市板橋區文聖街76號3樓,新北市,板橋區,,,,,335dcdaa-fb2a-819f-a915-da12ff7f5da9,
48,精品技工所 (林先生),精品牙醫診所,3731014880,matched_page_already_current,精品牙醫診所,新北市板橋區懷德街191巷29號1樓,新北市板橋區懷德街191巷29號1樓,新北市,板橋區,,,,,335dcdaa-fb2a-81a6-9bf2-d830d89b08f2,
49,玉采技工所,玉采牙體技術所,2Y31010107,matched_page_already_current,玉采牙體技術所,新北市板橋區漢生西路163號1樓,新北市板橋區漢生西路163號1樓,新北市,板橋區,,,,,335dcdaa-fb2a-8195-939a-f7feefade5ba,
52,永明技工所,永明牙體技術所,2Y31020167,matched_page_already_current,永明牙體技術所,新北市三重區自強路3段87巷14號,新北市三重區自強路3段87巷14號,新北市,三重區,,,,,335dcdaa-fb2a-81d2-908a-f92b7bcbe906,
54,新錡技工所(曲先生),新錡牙體技術所,2Y31060045,matched_page_already_current,新錡牙體技術所,新北市新莊區中原東路58號,新北市新莊區中原東路58號,新北市,新莊區,,,,,335dcdaa-fb2a-812b-85e1-cb4556f851df,
56,上揚技工所,上揚牙體技術所,2Y01090071,matched_page_already_current,上揚牙體技術所,臺北市大同區重慶北路3段278-2號3樓,臺北市大同區重慶北路3段278-2號3樓,臺北市,大同區,,,,,335dcdaa-fb2a-81e1-b276-df391d320919,
57,宏祥技工所,宏祥牙體技術所,2Y34080012,matched_page_already_current,宏祥牙體技術所,宜蘭縣員山鄉惠深一路41號,宜蘭縣員山鄉惠深一路41號,宜蘭縣,員山鄉,,,,,335dcdaa-fb2a-8152-93e6-c61f50376164,
58,非凡技工所,非凡牙體技術所,2Y12040103,matched_page_already_current,非凡牙體技術所,新竹市北區東大路二段198號3樓,新竹市北區東大路2段198號3樓,新竹市,北區,,,,,335dcdaa-fb2a-8127-aeee-ede85c9a684a,
59,宏月技工所,宏月牙體技術所,2Y12010089,matched_page_already_current,宏月牙體技術所,新竹市東區東南街143巷52號,新竹市東區東南街143巷52號,新竹市,東區,,,,,335dcdaa-fb2a-812d-b223-d97a678b309f,
62,牙德齒模技工所,牙德牙體技術所,2Y33020012,matched_page_already_current,牙德牙體技術所,新竹縣新埔鎮田新里9鄰信義二街29巷5號,新竹縣新埔鎮田新里9鄰信義二街29巷5號,新竹縣,新埔鎮,,,,,335dcdaa-fb2a-8189-9b4c-f44c8ca0014d,
