skuCode,name,brand,businessCategory,functionCategory,productKind,classificationStatus,classificationMethod,seriesId,seriesMatch,reviewRequired,reviewReasons,legacyProductType,legacyMainCategory,legacyCategory
ADB-1558,Carbide Bur HP 1558,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-1559,Carbide Bur HP 1559,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-168,Carbide Bur HP168,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-169,Carbide Bur HP169,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-170,Carbide Bur HP170,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-171,Carbide Bur HP171,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-172,Carbide Bur HP172,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-174,Carbide Bur HP174(563),Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-562,Carbide Bur HP562,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-563,Carbide Bur HP563,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-698,Carbide Bur HP698,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-700,Carbide Bur HP700,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-701,Carbide Bur HP701,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-702,Carbide Bur HP702,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-702-1/2,Carbide Bur HP702-1/2,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-703,Carbide Bur HP703,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
ADB-704,Carbide Bur HP704,Prima Dental,lab-production,bur-drill,consumable,approved_rule,legacy_category_rule,,unmatched,false,,耗材,耗材,車針 / 鑽針
AF-BLSS900-2.3,無刷電子馬達(60000轉),Argofile,lab-equipment,motor-handpiece,equipment,approved_rule,legacy_category_rule,,unmatched,false,,設備,設備,馬達 / 手機
AG-00194,Asiga Flash 光固化機,ASIGA,additive-manufacturing,post-processing,equipment,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,光固化機
AG-00194-1,光固化機-燈管,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,光固化機
AG-0044,Bundled 1L MAX Build Tary,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-0077,MAX 2 Crown kit,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-00928,PlasGRAY V2 1kg,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-00929,PlasPINK V2 1kg,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-00930,PlasCLEAR V2 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-00931,PlasWHITE V2 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-01329,FusionGRAY V2 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-01407,MAX Touchscreen,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-02391,MAX UV 3D Printer,ASIGA,additive-manufacturing,3d-printer,equipment,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-02479,MAX Build Platform 成型台,ASIGA,additive-manufacturing,printer-accessory,accessory,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-02499,MAX Build Tray 1L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-02500,MAX Build Tray 2L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-02501,MAX Build Tray 5L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-02502,MAX Build Tray 10L 料槽,ASIGA,additive-manufacturing,printing-consumable,consumable,approved_rule,official_sku_rule,,unmatched,false,,設備,設備,3D列印機
AG-02551,Posltion Encoder Projector USB Cable,ASIGA,additive-manufacturing,printer-spare-part,spare_part,approved_rule,official_sku_rule,,unmatched,false,,配件,耗材,3D列印機配件
AG-03000,DentaModel,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-03569,Denta BASE N1 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-03624,Denta TOOTH A1 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-03625,Denta TOOTH A2 Bottle(1Kg),ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-03626,Denta TOOTH A3,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-03653,Denta GUM 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-03768,DentaTRY A1 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
AG-03810,DentaTOOTH 1kg Bottle,ASIGA,additive-manufacturing,print-resin,material,approved_rule,official_sku_rule,,unmatched,false,,材料,材料,樹脂材料
