salesperson,customer_code,excel_name,excel_address,score,name_score,address_score,notion_name,notion_address,notion_type,notion_code,notion_salesperson,second_name,second_score
Paul,106104,優瑞牙醫診所,臺北市安和路1段69號,0.592,0.500,0.700,瑞誠牙醫診所,臺北市大安區安和路1段69號,牙醫診所,3701027235,,優美牙醫診所,0.340
Sam,324009,名揚技工所(陳貴宗先生),桃園縣平鎮市福林里5鄰39號,0.585,0.520,0.700,名揚牙體技術所,桃園市平鎮區福林里5鄰39號,牙體技術所,,Sam,名揚牙醫診所,0.353
Sam,324018,捷安技工所(傅穗舟先生),桃園縣平鎮市東豐路528巷1弄12號,0.585,0.520,0.700,捷安牙體技術所,桃園市平鎮區東豐路528巷1弄12號,牙體技術所,,Sam,捷安牙醫診所,0.353
Sam,335003,鴻海技工所(陳介智先生),桃園縣大溪鎮文化路129巷21號,0.585,0.520,0.700,鴻海牙體技術所,桃園市大溪區文化路129巷21號,牙體技術所,,Sam,陳賢瓊牙醫診所,0.378
Sam,338001,宏霖技工所(宏昇),桃園縣蘆竹鄉新興街344巷63弄10號,0.649,0.620,0.700,宏霖牙體技術所,桃園市蘆竹區新興街344巷63弄10號,牙體技術所,,Sam,宏昇牙醫診所,0.417
